,boro_ct201,CAMIS
1661,4086400,32
1662,4086500,8
1663,4086900,79
1664,4087100,188
1665,4088400,4
1666,4088901,13
1667,4089200,38
1668,4090700,10
1669,4091601,4
1670,4091900,9
1671,4092500,21
1672,4092900,6
1673,4093401,9
1674,4093402,9
1675,4093800,14
1676,4093900,1
1677,4094201,11
1678,4094202,14
1679,4094203,12
1680,4094500,15
1681,4094700,2
1682,4095400,6
1683,4096400,2
1684,4097204,3
1685,4097300,1
1686,4098100,15
1687,4098700,20
1688,4099100,2
1689,4099200,1
1690,4099701,4
1691,4099703,2
1692,4099704,14
1693,4099705,3
1694,4099801,8
1695,4099802,1
1696,4100802,8
1697,4101001,10
1698,4101700,20
1699,4102900,1
1700,4103201,5
1701,4103202,6
1702,4103300,1
1703,4103900,6
1704,4104700,6
1705,4107201,4
1706,4108500,7
1707,4109700,4
1708,4109900,17
1709,4112300,47
1710,4112900,2
1711,4113300,3
1712,4113900,2
1713,4114100,5
1714,4115500,12
1715,4115700,13
1716,4115900,2
1717,4116100,1
1718,4116300,11
1719,4116700,33
1720,4117100,70
1721,4117500,13
1722,4118100,7
1723,4118500,4
1724,4118900,8
1725,4119100,7
1726,4119300,2
1727,4119900,1
1728,4120100,5
1729,4120500,11
1730,4120700,3
1731,4121100,1
1732,4121500,1
1733,4122300,6
1734,4122701,9
1735,4122702,5
1736,4124100,4
1737,4124700,1
1738,4125700,2
1739,4126500,6
1740,4126700,16
1741,4127700,17
1742,4129102,3
1743,4129103,6
1744,4129104,6
1745,4130100,5
1746,4133300,11
1747,4133900,11
1748,4134100,16
1749,4134700,13
1750,4136700,14
1751,4137700,11
1752,4138501,3
1753,4138502,1
1754,4139900,1
1755,4140300,1
1756,4140902,1
1757,4141700,4
1758,4142900,10
1759,4143500,5
1760,4144100,1
1761,4144700,13
1762,4145101,7
1763,4145102,3
1764,4145900,7
1765,4146300,6
1766,4146700,25
1767,4147100,20
1768,4147900,25
1769,4148300,1
1770,4150701,1
1771,4150702,16
1772,4152901,7
1773,4152902,7
1774,4155101,2
1775,4155102,23
1776,4157101,11
1777,4157102,1
1778,4157901,8
1779,4157902,12
1780,4157903,3
1781,4161700,12
1782,4162100,5
1783,5000300,31
1784,5000600,17
1785,5000700,6
1786,5000800,13
1787,5001100,8
1788,5001700,8
1789,5002001,1
1790,5002002,3
1791,5002100,30
1792,5002700,6
1793,5002900,2
1794,5003300,1
1795,5003600,2
1796,5003900,1
1797,5004000,3
1798,5004700,3
1799,5005000,6
1800,5005900,11
1801,5006400,12
1802,5006700,3
1803,5007000,19
1804,5007400,6
1805,5007500,3
1806,5007700,2
1807,5008100,4
1808,5009601,5
1809,5009602,6
1810,5009700,3
1811,5010500,17
1812,5011201,11
1813,5011202,11
1814,5011401,6
1815,5011402,7
1816,5012100,18
1817,5012200,22
1818,5012500,4
1819,5012804,12
1820,5012806,6
1821,5013203,3
1822,5013204,5
1823,5013302,8
1824,5013400,19
1825,5013800,1
1826,5014100,4
1827,5014604,17
1828,5014605,7
1829,5014606,9
1830,5014607,16
1831,5014700,5
1832,5015100,28
1833,5015601,20
1834,5015602,3
1835,5015603,15
1836,5016901,9
1837,5017005,17
1838,5017010,6
1839,5017011,7
1840,5017300,3
1841,5017600,1
1842,5017700,3
1843,5018100,12
1844,5018701,6
1845,5018702,11
1846,5018901,8
1847,5019700,1
1848,5019800,6
1849,5020100,18
1850,5020700,16
1851,5020801,21
1852,5020804,3
1853,5021300,11
1854,5022300,1
1855,5022600,45
1856,5022800,9
1857,5023100,3
1858,5023900,4
1859,5024401,6
1860,5024402,1
1861,5024700,13
1862,5024800,28
1863,5025100,6
1864,5027301,8
1865,5027302,1
1866,5027702,45
1867,5027706,12
1868,5027900,7
1869,5029102,23
1870,5029103,17
1871,5029104,15
1872,5030301,7
1873,5030302,15
1874,5032300,4
