,boro_ct201,CAMIS
398,2021602,9
399,2021700,3
400,2021800,5
401,2021900,7
402,2022000,6
403,2022101,13
404,2022102,2
405,2022200,20
406,2022300,9
407,2022401,3
408,2022403,8
409,2022404,7
410,2022500,3
411,2022701,6
412,2022702,5
413,2022703,2
414,2022800,5
415,2022902,5
416,2023000,6
417,2023100,11
418,2023200,6
419,2023301,7
420,2023302,1
421,2023501,6
422,2023502,6
423,2023600,6
424,2023702,11
425,2023703,16
426,2023704,8
427,2023800,5
428,2023900,20
429,2024000,1
430,2024100,13
431,2024300,10
432,2024400,2
433,2024501,3
434,2024502,4
435,2024600,1
436,2024800,11
437,2024900,1
438,2025000,3
439,2025100,10
440,2025200,8
441,2025300,6
442,2025400,7
443,2025500,3
444,2025600,4
445,2025700,1
446,2026300,3
447,2026400,5
448,2026500,14
449,2026601,5
450,2026602,23
451,2026701,9
452,2026900,2
453,2027300,5
454,2027402,3
455,2027700,9
456,2027900,7
457,2028300,19
458,2028400,12
459,2028500,14
460,2028600,3
461,2028700,2
462,2028800,5
463,2028900,27
464,2029302,5
465,2029500,23
466,2029600,11
467,2029700,12
468,2030000,9
469,2030200,3
470,2030900,2
471,2031000,3
472,2031200,7
473,2031900,2
474,2032300,8
475,2032400,4
476,2032600,4
477,2032800,3
478,2033000,15
479,2033201,3
480,2033202,4
481,2033400,14
482,2033500,1
483,2033600,7
484,2033700,13
485,2033800,12
486,2034000,7
487,2034200,1
488,2034300,1
489,2034400,4
490,2034500,7
491,2034800,5
492,2035000,8
493,2035100,8
494,2035600,1
495,2035800,7
496,2035900,3
497,2036000,2
498,2036100,3
499,2036300,7
500,2036400,10
501,2036501,2
502,2036502,10
503,2036800,1
504,2036901,3
505,2036902,1
506,2037000,1
507,2037100,3
508,2037200,3
509,2037300,7
510,2037400,5
511,2037504,5
512,2037800,2
513,2037900,4
514,2038000,9
515,2038100,4
516,2038200,2
517,2038301,8
518,2038302,6
519,2038500,6
520,2038600,10
521,2038700,10
522,2038900,26
523,2039000,6
524,2039100,52
525,2039200,2
526,2039300,5
527,2039400,4
528,2039500,12
529,2039600,4
530,2039700,16
531,2039800,1
532,2039901,10
533,2039902,11
534,2040100,9
535,2040302,4
536,2040303,2
537,2040304,7
538,2040400,6
539,2040501,5
540,2040502,6
541,2040600,13
542,2040701,6
543,2040702,3
544,2040900,3
545,2041100,10
546,2041300,7
547,2041400,9
548,2041500,7
549,2041800,5
550,2041900,7
551,2042000,4
552,2042100,14
553,2042200,12
554,2042300,8
555,2042400,7
556,2042500,17
557,2042600,5
558,2042800,1
559,2042902,5
560,2043100,16
561,2043400,17
562,2043500,2
563,2043600,3
564,2044200,3
565,2044901,4
566,2044902,6
567,2045101,5
568,2045102,7
569,2045600,7
570,2046000,1
571,2046201,46
572,2046202,18
573,2048400,11
574,2050400,6
575,2051600,30
576,3000100,22
577,3000200,22
578,3000301,5
579,3000501,12
580,3000502,18
581,3000700,15
582,3000900,38
583,3001100,52
584,3001300,7
585,3001500,55
586,3001800,14
587,3002000,6
588,3002100,54
589,3002200,8
590,3002901,1
591,3003100,4
592,3003300,40
593,3003400,4
594,3003500,28
595,3003700,28
596,3003900,14
597,3004100,14
598,3004300,38
599,3004500,24
600,3004600,1
601,3004700,5
602,3004900,7
603,3005100,21
604,3005300,25
605,3005400,12
606,3005601,2
607,3005602,5
608,3005800,28
609,3005900,11
610,3006000,29
611,3006200,17
612,3006300,5
613,3006400,19
614,3006500,19
615,3006600,28
616,3006700,10
617,3006800,35
618,3006900,40
619,3007200,1
620,3007400,24
621,3007500,35
622,3007600,9
623,3007700,22
624,3007800,6
625,3008000,18
626,3008200,15
627,3008400,24
628,3008500,1
629,3008800,11
630,3009000,10
631,3009200,9
632,3009400,13
633,3009600,9
634,3009800,9
635,3010000,16
636,3010100,11
637,3010200,22
638,3010400,55
639,3010600,28
640,3010800,30
641,3011000,8
642,3011200,5
643,3011400,8
644,3011600,5
645,3011700,10
646,3011800,25
647,3011900,36
648,3012000,27
649,3012100,9
650,3012200,8
651,3012600,7
652,3012700,6
653,3012801,3
654,3012901,21
655,3012902,65
656,3013000,25
657,3013100,32
658,3013200,6
659,3013300,25
660,3013400,11
661,3013500,19
662,3013600,14
663,3013700,31
664,3013800,16
665,3013900,20
666,3014000,4
667,3014100,17
668,3014200,7
669,3014300,19
670,3014500,20
671,3014700,3
672,3014800,2
673,3014900,22
674,3015000,1
675,3015100,23
676,3015200,1
677,3015300,17
678,3015400,1
679,3015500,14
680,3015700,17
681,3015900,20
682,3016000,28
683,3016100,27
684,3016200,6
685,3016300,22
686,3016700,4
687,3016900,24
688,3017000,7
689,3017100,1
690,3017200,3
691,3017400,1
692,3017600,4
693,3017700,7
694,3017800,7
695,3017900,1
696,3018000,6
697,3018100,25
698,3018200,5
699,3018300,28
700,3018501,2
701,3018700,5
702,3018800,1
703,3019000,8
704,3019100,24
705,3019200,4
706,3019300,12
707,3019400,9
708,3019500,11
709,3019600,8
710,3019700,15
711,3019800,5
712,3019900,16
713,3020000,9
714,3020100,19
715,3020300,17
716,3020500,31
717,3020600,3
718,3020700,15
719,3020800,1
720,3021000,3
721,3021100,11
722,3021200,14
723,3021300,7
724,3021400,4
725,3021500,10
726,3021600,2
727,3021700,19
728,3021800,3
729,3021900,16
730,3022000,5
731,3022100,7
732,3022200,8
733,3022400,3
734,3022600,3
735,3022700,21
736,3022800,5
737,3022900,9
738,3023000,5
739,3023100,6
740,3023200,8
741,3023300,19
742,3023400,3
743,3023500,6
744,3023600,3
745,3023800,4
746,3024000,3
747,3024100,10
748,3024200,1
749,3024300,4
750,3024400,1
751,3024500,18
752,3024600,2
753,3024700,16
754,3024800,12
755,3024900,14
756,3025000,2
757,3025100,6
758,3025200,11
759,3025300,3
760,3025400,12
761,3025600,9
762,3025700,6
763,3025800,9
764,3026000,8
765,3026100,6
766,3026200,4
767,3026300,2
768,3026400,14
769,3026500,8
770,3026600,14
771,3026700,7
772,3026800,2
773,3026900,10
774,3027100,10
775,3027300,7
776,3027400,3
777,3027500,15
778,3027600,8
779,3027700,2
780,3027800,14
781,3027900,4
782,3028000,3
783,3028100,12
784,3028200,7
785,3028300,3
786,3028400,20
787,3028501,7
788,3028600,7
789,3028700,15
790,3028800,18
791,3028900,10
792,3029000,16
793,3029100,2
794,3029200,6
795,3029400,6
796,3029500,11
797,3029600,11
798,3029700,7
799,3029800,14
800,3029900,5
801,3030000,11
802,3030100,3
803,3030200,2
804,3030300,3
805,3030400,8
806,3030500,16
807,3030600,1
808,3030700,4
809,3030800,5
810,3030900,8
811,3031100,1
812,3031300,5
813,3031400,2
814,3031500,18
815,3031701,16
816,3031702,15
817,3031900,8
818,3032100,12
819,3032300,4
820,3032500,11
821,3032600,6
822,3032700,10
823,3032800,2
824,3032900,8
825,3033100,3
826,3033300,3
827,3033500,4
828,3033600,2
829,3033700,5
830,3033900,12
831,3034100,1
832,3034200,3
833,3034300,2
834,3034500,2
835,3034700,4
836,3034800,18
837,3034900,18
838,3035000,14
839,3035100,21
840,3035200,36
841,3035300,5
842,3035400,2
843,3035500,8
844,3035602,2
845,3035700,2
846,3035900,3
847,3036001,4
848,3036002,9
849,3036100,1
850,3036200,16
851,3036300,6
852,3036400,3
853,3036501,2
854,3036600,6
855,3036700,2
856,3036900,9
857,3037000,8
858,3037100,2
859,3037300,7
860,3037401,1
861,3037402,8
862,3037500,10
863,3037700,9
864,3037900,6
865,3038100,5
866,3038200,1
867,3038300,8
868,3038500,6
869,3038600,10
870,3038700,4
871,3038800,2
872,3038900,13
873,3039000,2
874,3039100,7
875,3039200,12
876,3039300,11
877,3039400,13
878,3039500,5
879,3039700,5
880,3039800,9
881,3039900,2
882,3040000,15
883,3040100,7
884,3040200,15
885,3040300,5
886,3040400,3
887,3040500,1
888,3040800,2
889,3040900,5
890,3041200,7
891,3041401,6
892,3041402,1
893,3041500,4
894,3041700,4
895,3041800,9
896,3041900,3
897,3042000,10
898,3042100,7
899,3042200,14
900,3042300,19
901,3042400,6
902,3042500,10
903,3042600,14
904,3042700,31
905,3042800,5
906,3042900,20
907,3043000,8
908,3043100,21
909,3043200,5
910,3043300,21
911,3043400,2
912,3043500,9
913,3043600,5
914,3043700,7
915,3043800,5
916,3043900,26
917,3044000,2
918,3044100,17
919,3044300,19
920,3044400,1
921,3044500,15
922,3044600,2
923,3044700,30
924,3044900,15
925,3045300,23
926,3045400,3
927,3045600,6
928,3046000,4
929,3046201,3
930,3046202,4
931,3046400,1
932,3047000,2
933,3047200,1
934,3047400,4
935,3047600,3
936,3047700,9
937,3047800,3
938,3048000,3
939,3048100,5
940,3048200,10
941,3048400,9
942,3048500,26
943,3048600,12
944,3048800,3
945,3049000,3
946,3049100,15
947,3049200,10
948,3049300,22
949,3049400,4
950,3049500,29
951,3049600,14
952,3049700,32
953,3049800,3
954,3049900,4
955,3050000,9
956,3050100,14
957,3050202,9
958,3050300,30
959,3050400,8
960,3050500,14
961,3050600,13
962,3050700,10
963,3050801,4
964,3050803,6
965,3050900,3
966,3051001,4
967,3051002,9
968,3051100,7
969,3051200,3
970,3051300,40
971,3051400,6
972,3051500,14
973,3051601,5
974,3051602,5
975,3051700,20
976,3051800,5
977,3051900,42
978,3052000,25
979,3052300,37
980,3052500,17
981,3052600,16
982,3052700,13
983,3052800,1
984,3052900,5
985,3053000,5
986,3053100,1
987,3053200,3
988,3053300,3
989,3053400,14
990,3053500,3
991,3053700,1
992,3053800,12
993,3053900,1
994,3054200,8
995,3054300,7
996,3054500,1
997,3054700,2
998,3054900,27
999,3055000,6
1000,3055100,36
1001,3055200,16
1002,3055300,67
1003,3055400,13
1004,3055500,54
1005,3055700,39
1006,3056100,27
1007,3056300,24
1008,3056400,3
1009,3056500,41
1010,3056600,2
1011,3056800,2
1012,3056900,43
1013,3057000,11
1014,3057100,21
1015,3057300,5
1016,3057400,7
1017,3057500,19
1018,3057600,5
1019,3057800,12
1020,3057900,10
1021,3058000,10
1022,3058200,12
1023,3058400,3
1024,3058600,3
1025,3058800,5
1026,3058900,6
1027,3059000,5
1028,3059100,10
1029,3059200,1
1030,3059300,1
1031,3059401,11
1032,3059402,11
1033,3059600,6
1034,3060000,9
1035,3060600,22
1036,3060800,25
1037,3061003,5
1038,3061004,7
1039,3061600,7
1040,3062000,2
1041,3062200,7
1042,3062600,1
1043,3062800,12
1044,3063200,2
1045,3063800,1
1046,3064200,2
1047,3064400,6
1048,3064600,1
1049,3064800,1
1050,3065000,9
1051,3065200,7
1052,3065600,2
1053,3065800,6
1054,3066200,4
1055,3066600,2
1056,3067000,2
1057,3067200,1
1058,3067400,10
1059,3067600,2
1060,3068000,5
1061,3068200,1
1062,3068800,6
1063,3069000,5
1064,3069601,5
1065,3069602,6
1066,3069800,36
1067,3070000,2
1068,3070201,5
1069,3070202,1
1070,3070600,1
1071,3072000,5
1072,3072200,6
1073,3072400,3
1074,3072600,1
1075,3072800,4
1076,3073000,2
1077,3073400,1
1078,3073600,4
1079,3073800,3
1080,3074000,4
1081,3074200,5
1082,3074600,3
1083,3074800,3
1084,3075000,6
1085,3076000,1
1086,3076800,7
1087,3077000,12
1088,3077200,2
1089,3077400,16
1090,3077600,3
1091,3078000,2
1092,3078600,17
1093,3078800,4
1094,3079000,12
1095,3079200,11
1096,3079400,11
1097,3079601,13
1098,3079602,17
1099,3079801,14
1100,3079802,13
1101,3080000,10
1102,3080200,7
1103,3080400,8
1104,3080600,3
1105,3080800,4
1106,3081000,1
1107,3081400,3
1108,3081600,7
1109,3081800,15
1110,3082000,10
1111,3082200,3
1112,3082400,10
1113,3082600,16
1114,3082800,17
1115,3083000,3
1116,3083200,1
1117,3083400,2
1118,3083600,4
1119,3084000,6
1120,3084600,6
1121,3084800,1
1122,3085600,6
1123,3085800,4
1124,3086000,10
1125,3086200,6
1126,3086400,2
1127,3086600,4
1128,3086800,21
1129,3087000,5
1130,3087200,3
1131,3087401,6
1132,3087600,2
1133,3087800,7
1134,3088000,6
1135,3088200,6
1136,3088400,6
1137,3088600,1
1138,3088800,5
1139,3089000,10
1140,3089200,15
1141,3089400,4
1142,3089600,1
1143,3089800,3
1144,3090000,10
1145,3090200,2
1146,3090600,12
1147,3090800,9
1148,3091000,3
1149,3091600,1
1150,3091800,2
1151,3092000,2
1152,3092200,1
1153,3092400,13
1154,3093000,3
1155,3093200,2
1156,3093400,2
1157,3094401,5
1158,3094600,8
1159,3095000,9
1160,3095400,10
1161,3095600,5
1162,3095800,1
1163,3096000,7
1164,3096200,2
1165,3096400,4
1166,3096600,3
1167,3096800,5
1168,3097400,9
1169,3098400,1
1170,3098600,2
1171,3099000,6
1172,3099200,1
1173,3099800,1
1174,3100600,1
1175,3100800,3
1176,3101000,10
1177,3101200,2
1178,3101800,1
1179,3102200,3
1180,3102800,5
1181,3103400,2
1182,3105804,12
1183,3107000,11
1184,3107800,1
1185,3109800,8
1186,3110400,27
1187,3111600,2
1188,3112000,6
1189,3112200,1
1190,3112400,6
1191,3112600,2
1192,3112800,7
1193,3113000,2
1194,3113400,1
1195,3114201,3
1196,3114400,7
1197,3114600,3
1198,3115000,2
1199,3115200,5
1200,3115600,6
1201,3116400,2
1202,3116600,3
1203,3116800,3
1204,3117000,7
1205,3117201,5
1206,3117400,14
1207,3117601,5
1208,3117602,5
1209,3117800,7
1210,3118201,1
1211,3118202,2
1212,3118400,15
1213,3118600,1
1214,3118800,12
1215,3119000,7
1216,3119200,1
1217,3119400,4
1218,3119600,12
1219,3119800,12
1220,3120000,7
1221,3120800,1
1222,3122000,7
1223,3123700,6
1224,3150200,2
1225,3152200,10
1226,4000100,15
1227,4000200,3
1228,4000400,10
1229,4000600,2
1230,4000700,69
1231,4000800,1
1232,4001000,8
1233,4001200,10
1234,4001400,9
1235,4001600,1
1236,4001800,11
1237,4001900,60
1238,4002000,4
1239,4002200,5
1240,4002400,1
1241,4002500,2
1242,4002600,5
1243,4002800,3
1244,4003000,2
1245,4003100,14
1246,4003200,2
1247,4003300,26
1248,4003400,5
1249,4003600,1
1250,4003800,6
1251,4003900,5
1252,4004001,7
1253,4004002,10
1254,4004200,3
1255,4004401,3
1256,4004500,3
1257,4004700,3
1258,4005100,11
1259,4005200,1
1260,4005300,12
1261,4005400,12
1262,4005500,13
1263,4005700,25
1264,4005800,8
1265,4005900,29
1266,4006100,47
1267,4006202,11
1268,4006300,38
1269,4006501,13
1270,4006502,17
1271,4006900,20
1272,4007100,31
1273,4007300,9
1274,4007500,8
1275,4007700,9
1276,4007900,4
1277,4008300,10
1278,4008500,14
1279,4008600,10
1280,4008800,9
1281,4009400,8
1282,4009600,7
1283,4009700,9
1284,4009800,14
1285,4009900,1
1286,4010000,8
1287,4010100,5
1288,4010200,5
1289,4010300,5
1290,4010400,3
1291,4010500,2
1292,4010600,8
1293,4010701,2
1294,4010800,1
1295,4011000,4
1296,4011100,2
1297,4011200,4
1298,4011300,23
1299,4011400,2
1300,4011500,44
1301,4011600,7
1302,4011700,20
1303,4011800,4
1304,4011900,5
1305,4012000,8
1306,4012100,6
1307,4012200,12
1308,4012301,7
1309,4012400,5
1310,4012500,4
1311,4012601,4
1312,4012602,3
1313,4012800,4
1314,4013000,3
1315,4013200,5
1316,4013400,3
1317,4013500,1
1318,4013600,9
1319,4013700,7
1320,4013800,1
1321,4014000,5
1322,4014100,11
1323,4014201,2
1324,4014202,19
1325,4014300,41
1326,4014400,9
1327,4014500,3
1328,4014700,13
1329,4014800,1
1330,4014900,15
1331,4015100,8
1332,4015200,5
1333,4015300,10
1334,4015400,3
1335,4015500,41
1336,4015600,6
1337,4015700,20
1338,4015801,12
1339,4015802,13
1340,4015900,12
1341,4016100,10
1342,4016300,5
1343,4016600,10
1344,4016800,1
1345,4016900,3
1346,4017000,2
1347,4017100,12
1348,4017200,2
1349,4017800,4
1350,4017900,17
1351,4018000,9
1352,4018101,15
1353,4018102,12
1354,4018300,47
1355,4018401,5
1356,4018402,2
1357,4018501,8
1358,4018502,14
1359,4018700,2
1360,4018900,4
1361,4019000,10
1362,4019600,3
1363,4019800,2
1364,4019900,14
1365,4020200,1
1366,4020400,4
1367,4020500,3
1368,4020600,3
1369,4020800,16
1370,4021200,17
1371,4021400,22
1372,4021600,12
1373,4021900,2
1374,4022002,1
1375,4023000,3
1376,4023500,22
1377,4023600,13
1378,4023800,17
1379,4024000,18
1380,4024300,2
1381,4024500,4
1382,4024600,1
1383,4024900,9
1384,4025100,18
1385,4025301,20
1386,4025302,10
1387,4025400,2
1388,4025500,4
1389,4025700,1
1390,4025800,5
1391,4025900,25
1392,4026000,4
1393,4026100,27
1394,4026300,32
1395,4026400,2
1396,4026500,20
1397,4026600,2
1398,4026700,24
1399,4026901,36
1400,4026902,15
1401,4027000,1
1402,4027100,11
1403,4027200,3
1404,4027300,29
1405,4027500,15
1406,4027600,1
1407,4027700,19
1408,4027900,15
1409,4028100,24
1410,4028200,2
1411,4028300,25
1412,4028400,7
1413,4028500,24
1414,4028700,22
1415,4028800,1
1416,4028900,32
1417,4029100,17
1418,4029300,4
1419,4029400,12
1420,4029500,5
1421,4029700,6
1422,4030600,7
1423,4030902,3
1424,4030903,10
1425,4030904,1
1426,4031700,3
1427,4032000,9
1428,4032700,11
1429,4032800,4
1430,4032900,9
1431,4033000,3
1432,4033100,66
1433,4033401,4
1434,4033402,10
1435,4033700,18
1436,4033900,7
1437,4034700,4
1438,4035100,7
1439,4035200,8
1440,4035300,8
1441,4035700,11
1442,4035800,5
1443,4036100,3
1444,4036300,4
1445,4036500,7
1446,4036600,9
1447,4036700,5
1448,4036800,1
1449,4037300,4
1450,4037500,26
1451,4037600,2
1452,4037700,7
1453,4037900,12
1454,4038100,5
1455,4038301,2
1456,4038302,11
1457,4038400,1
1458,4039400,3
1459,4039900,9
1460,4040000,5
1461,4040100,6
1462,4040200,2
1463,4040300,19
1464,4040400,1
1465,4040500,45
1466,4040700,19
1467,4040900,9
1468,4041100,3
1469,4041300,6
1470,4041500,2
1471,4042400,2
1472,4042700,8
1473,4043200,2
1474,4043702,3
1475,4043900,15
1476,4044000,3
1477,4044302,10
1478,4044400,25
1479,4044601,36
1480,4044602,7
1481,4044800,2
1482,4045000,7
1483,4045400,7
1484,4045500,2
1485,4045800,8
1486,4046000,19
1487,4046100,18
1488,4046200,11
1489,4046300,7
